ESTU,DESAFECCION_BRUTO,DESAFECCION_AJUSTADO,ANCLAJE,DESAFECCION_FINAL,MATERIAL_BRUTO,PRESION_AGENDA,N_MENCIONES_POL,N_MENCIONES_MAT,PCT_NINGUN_LIDER,PCT_NINGUN_PARTIDO,PCT_SIN_SIMPATIA,N_MUESTRA,PESO_TOTAL,FECHA
3288.0,13.313544415127527,18.948187722906113,15.556288478452064,14.210642040457342,31.074098504837288,0.3107409850483729,0.33575197889182057,0.854221635883905,,16.200716845878134,58.816568047337284,3032.0,3032.0,2020-07-01
3292.0,27.157943067033976,36.378249542247794,18.709825528007343,23.77869605142332,28.63292011019284,0.2863292011019284,0.7121212121212122,0.8426308539944903,,19.813084112149532,54.983922829581985,2904.0,2904.0,2020-09-01
3296.0,23.369813041495668,32.04373268097914,19.909940720474232,21.985864113087093,29.953260373917,0.29953260373917,0.594733242134063,0.9127906976744186,,20.77873455634594,57.40551583248212,2924.0,2924.0,2020-10-01
3300.0,21.449220521931736,29.297445312517247,19.814119169728787,20.795179981050556,29.521126619803596,0.29521126619803595,0.5600880450605994,0.9063509058743033,,21.139306847053582,57.79151395382674,3853.0,3852.99979,2020-11-01
3303.0,23.189093441827996,32.06141517255498,18.832693386847627,21.446533419835852,31.818054167521343,0.3181805416752134,0.6091940740301769,0.9590160945424441,,19.698508837659816,55.4239462881696,3817.0,3816.9988499999995,2020-12-01
3307.0,19.5374002437374,27.04678419033101,18.793208896570516,19.23972370487065,29.942619475651593,0.29942619475651594,0.5236393375218078,0.93495424516513,,19.514069725399672,55.627674607618836,3862.0,3862.0060699999995,2021-01-01
3309.0,21.25514440365386,29.041785598068273,21.620624342973464,21.4013363793817,29.855003501253893,0.29855003501253896,0.5586968355435071,0.9050613943842637,27.76377589125264,19.792347930277842,56.77369237778937,3869.0,3868.9996299999993,2021-02-01
3313.0,19.09457496233457,26.834242655266127,22.214403905970443,20.342506539788918,31.099152860980794,0.31099152860980794,0.5104408469606788,0.9226586636128842,28.55477716164992,19.784935302541584,58.46435804516478,3820.0,3819.9998190000006,2021-03-01
3318.0,16.817417247277525,25.21581083987498,21.216146846574716,18.5769090869964,35.607732689391234,0.35607732689391236,0.4635150985261176,1.0471665013875666,28.889081273873156,18.871939019199033,56.409695118329296,3823.0,3822.9979900000008,2021-04-01
3322.0,16.973737545808394,25.996443434644206,21.017249385737856,18.591142281780172,37.21286468808138,0.3721286468808138,0.4669909137361186,1.0679112938485529,28.111970517280465,18.620941146326118,53.197814577732004,3814.0,3813.999621,2021-05-01
3326.0,18.32404267827782,27.316792675706008,19.82753247481755,18.925438596893713,36.112613654685006,0.36112613654685005,0.48416383951117964,1.0135032067722596,25.68008319973234,16.832562878879536,55.30422059149155,3814.0,3813.9955100000006,2021-06-01
3330.0,18.22038031390948,26.4330694644397,21.128029031108674,19.38343980078916,34.47071941787739,0.3447071941787739,0.48356735127446315,0.9822748392219336,27.973458754355395,18.861282852109113,53.77405205869524,3798.0,3797.9993999999997,2021-07-01
3334.0,18.533270579657408,28.260148850930598,20.18268380485198,19.193035869735233,37.292299384656516,0.3729229938465652,0.47824099237992823,1.0552495128778854,25.981315194765457,17.797959062541878,55.632499628503396,3779.0,3778.944629999999,2021-09-01
3337.0,18.373226490924,29.044676647668947,17.30076769794094,17.944242973730777,40.370330882410634,0.4037033088241063,0.47385282802048656,1.1202902077730423,22.891636294866412,15.880067401525192,49.911875317777245,3660.0,3659.9998299999997,2021-10-01
3340.0,18.451897451492787,29.31938626484928,17.807951563466272,18.19431909628218,40.26351289408627,0.4026351289408627,0.4697624512944908,1.1191483881193556,22.025441097109212,16.576228252074575,52.2805550253853,3779.0,3779.428720000001,2021-11-01
3344.0,16.91330121799765,25.22820458039369,16.09673287467554,16.586673880668805,35.16466885679463,0.3516466885679463,0.4316592977667498,1.0178435007254245,20.937571022200967,15.326408926259703,49.42569243573649,3733.0,3732.99954,2021-12-01
3347.0,18.837164081261314,27.414197214549723,19.11513539957537,18.948352608586937,33.550937112258225,0.3355093711225823,0.4768912379048977,0.9728494504008444,24.18638842510915,17.451801330814256,51.33887131791063,3777.0,3777.00089,2022-01-01
3351.0,19.017389791199207,28.978845192968887,18.139688767423372,18.666309381688876,37.05773751700592,0.3705773751700592,0.481454797735283,1.0564518865953565,23.084428408848346,15.352694473150406,51.89259650421597,3860.0,3859.999959999999,2022-02-01
3355.0,18.39872672008673,31.570709520544046,16.47332045808976,17.62856421528794,44.43438788963888,0.44434387889638877,0.4822652796521772,1.2440746104599265,24.055043405025508,15.063280817505747,54.71930815284971,3922.0,3921.9970000000003,2022-03-01
3359.0,21.460696276851298,34.22896082019855,17.972694872569665,20.065495715138645,40.41263927295748,0.4041263927295748,0.5434403260178355,1.1134973491554963,28.773012250337395,15.150945790230042,50.90406647227643,3650.0,3649.99908,2022-04-01
3363.0,23.110757044159364,36.284583964107966,19.80500915902463,21.78845789010547,38.75316377505588,0.3875316377505588,0.5710365474379234,1.0845635527162723,31.034248056080028,16.747322990547712,54.31817073491844,3865.0,3865.00034,2022-05-01
