ESTU,CCAA,SCORE_POLITICO_BRUTO,SCORE_MATERIAL_BRUTO,INDICE_ANCLAJE,INDICE_DESAFECCION_FINAL,N_MUESTRA,FECHA,CCAA_NOMBRE
3375.0,7.0,24.560203726431627,39.02197724290327,19.51623425677643,22.54261593856955,159,2022-09,Castilla-La Mancha
3375.0,8.0,20.168423777210155,34.169870595166955,18.456721823172284,19.48374299559501,196,2022-09,Castilla y León
3375.0,9.0,19.47974155545566,34.6559332264757,21.21885250905572,20.175385936895683,569,2022-09,Cataluña
3375.0,10.0,20.01645105777408,34.63029296940659,18.18643529119854,19.284444751143866,374,2022-09,C. Valenciana
3375.0,11.0,17.547060117719372,38.98221296317626,23.01216963953637,19.733103926446173,84,2022-09,Extremadura
3375.0,12.0,19.13113694233719,37.111700052563194,16.26571092148279,17.984966533995426,235,2022-09,Galicia
3375.0,13.0,20.313184256772928,37.8910635168464,15.496727878254932,18.38660170536573,531,2022-09,Madrid
3375.0,14.0,26.316123536313345,34.00784132793797,19.138623380557934,23.445123474011183,96,2022-09,Murcia
3375.0,15.0,16.07305063551813,33.36042417852417,21.88002503868012,18.39584039678293,95,2022-09,Navarra
3375.0,16.0,19.44565963742781,36.49095190547777,21.750551691324777,20.367616458986596,188,2022-09,País Vasco
3375.0,17.0,15.933786027750973,37.119894868491606,13.435158660724122,14.93433508094023,76,2022-09,La Rioja
3380.0,1.0,21.135521132293448,38.719373801345334,16.142036480426235,19.138127271546562,638,2022-10,Andalucía
3380.0,2.0,19.44688190193123,35.94551552587348,15.863445586211371,18.013507375643286,99,2022-10,Aragón
3380.0,3.0,19.744865250091195,41.86472900009355,19.636145858952315,19.701377493635647,89,2022-10,Asturias
3380.0,4.0,21.235110877403862,29.507830830192155,19.49831467640126,20.540392397002822,94,2022-10,Baleares
3380.0,5.0,19.881498656962577,35.869461315453655,17.84459887838076,19.06673874552985,154,2022-10,Canarias
3380.0,6.0,23.392981246839277,38.886872800862875,12.137794693313246,18.890906625428865,90,2022-10,Cantabria
3380.0,7.0,19.746073249356957,35.74150132251123,19.296129016617954,19.566095556261356,154,2022-10,Castilla-La Mancha
3380.0,8.0,19.80669495183081,37.877892022659985,14.807205550007883,17.806899191101643,199,2022-10,Castilla y León
3380.0,9.0,19.977239499700293,35.666032728205515,20.758386852689835,20.28969844089611,521,2022-10,Cataluña
3380.0,10.0,19.73239938846074,34.43517546612245,16.5085260461969,18.4428500515552,369,2022-10,C. Valenciana
3380.0,11.0,20.690557272700495,42.29350934863412,19.119656533543235,20.06219697703759,85,2022-10,Extremadura
3380.0,12.0,15.98675817288226,40.22048441508453,14.041213723192968,15.208540393006544,225,2022-10,Galicia
3380.0,13.0,21.46483012167157,37.27540725655678,13.649091760659081,18.338534777266574,524,2022-10,Madrid
3380.0,14.0,21.19791605603249,36.92993020773956,13.422997326500017,18.0879485642195,106,2022-10,Murcia
3380.0,15.0,22.031211490296876,36.94881607870486,18.165863805281063,20.485072416290556,100,2022-10,Navarra
3380.0,16.0,18.61958292938386,37.3380261802538,21.830058817928432,19.903773284801687,182,2022-10,País Vasco
3380.0,17.0,18.78663123402725,35.315757066713395,15.307826659645546,17.39510940427457,69,2022-10,La Rioja
3384.0,1.0,20.802962732953716,37.046042185568005,17.120697472513395,19.330056628777587,675,2022-11,Andalucía
3384.0,2.0,21.978035198818414,34.917995457707214,22.44788127364647,22.165973628749633,101,2022-11,Aragón
3384.0,3.0,20.451061770651755,36.09994874319081,19.690072771350785,20.146666170931372,86,2022-11,Asturias
3384.0,4.0,21.29074632074158,31.0943703392723,19.604592883280052,20.616284945756963,106,2022-11,Baleares
3384.0,5.0,20.924745871627163,35.131010646396284,16.08368219138325,18.9883203995296,153,2022-11,Canarias
3384.0,6.0,21.614875379252183,30.59640203263319,21.32893182179634,21.500497956269843,85,2022-11,Cantabria
3384.0,7.0,20.90914583987892,38.75235981863378,21.566128790003848,21.171939019928892,164,2022-11,Castilla-La Mancha
3384.0,8.0,21.88472982382088,35.9234674344844,19.31272767501159,20.85592896429717,192,2022-11,Castilla y León
3384.0,9.0,19.79326739156248,32.6858823477594,19.712234000473163,19.76085403512675,574,2022-11,Cataluña
3384.0,10.0,21.06378438214076,37.07868289760519,17.716988396589517,19.725065987920267,382,2022-11,C. Valenciana
3384.0,11.0,20.120738298073068,40.38108482046711,14.839877578327853,18.00839401017498,112,2022-11,Extremadura
3384.0,12.0,16.732176731932896,42.71715002872871,13.382468949429434,15.392293618931511,222,2022-11,Galicia
3384.0,13.0,20.373979218774547,38.081765526873106,15.053901778692234,18.24594824274162,512,2022-11,Madrid
3384.0,14.0,23.03152078964084,35.94678601547592,15.531138670893434,20.031367942141877,91,2022-11,Murcia
3384.0,15.0,16.432771859821244,38.04143063477273,20.403847368611434,18.021202063337316,95,2022-11,Navarra
3384.0,16.0,16.739740461343544,39.292582338017404,17.326469769461625,16.97443218459078,179,2022-11,País Vasco
3384.0,17.0,19.010260633935623,43.3346175288037,14.09042681862101,17.042327107809783,72,2022-11,La Rioja
3388.0,1.0,27.141351903594845,34.30096761632643,16.416381028549182,22.85136355357658,688,2022-12,Andalucía
3388.0,2.0,30.546266445033407,26.56719573175524,19.082619967153125,25.960807853881295,114,2022-12,Aragón
3388.0,3.0,21.48964595121039,34.64584651626435,17.011529298936665,19.698399290300898,98,2022-12,Asturias
3388.0,4.0,26.1987234410928,24.90645840030382,21.236223355479122,24.21372340684733,87,2022-12,Baleares
3388.0,5.0,26.22375122774486,32.73213109082054,15.412774892862279,21.899360693791824,176,2022-12,Canarias
3388.0,6.0,21.393123229552373,36.311716692382184,19.01196632966827,20.440660469598736,100,2022-12,Cantabria
3388.0,7.0,26.88177224658736,36.79160667597216,20.261006521992318,24.233465956749342,157,2022-12,Castilla-La Mancha
3388.0,8.0,25.491036966682863,33.954458901481715,18.272912170231898,22.603787048102475,196,2022-12,Castilla y León
3388.0,9.0,22.018075788604833,30.69837823751153,19.58879502146774,21.046363481749996,537,2022-12,Cataluña
3388.0,10.0,25.866307287605046,32.74756180182187,16.880275439338945,22.271894548298604,381,2022-12,C. Valenciana
3388.0,11.0,25.781638990017807,32.49215056764984,16.434412425065663,22.042748364036946,88,2022-12,Extremadura
3388.0,12.0,23.996871213846454,36.49162804909315,18.273898304673097,21.70768205017711,254,2022-12,Galicia
3388.0,13.0,25.991469318543736,35.3696722005405,14.748774390797383,21.494391347445195,560,2022-12,Madrid
3388.0,14.0,26.081673886656954,27.89034152441999,22.162910694776272,24.51416860990468,123,2022-12,Murcia
3388.0,15.0,20.948216870242412,37.057377445009074,18.700425205018526,20.049100204152857,111,2022-12,Navarra
3388.0,16.0,22.79064814920354,35.871109091323284,17.75211063880103,20.775233145042545,207,2022-12,País Vasco
3388.0,17.0,28.69277749865744,33.56312249757289,21.813523102203156,25.941075740075725,200,2022-12,La Rioja
3390.0,1.0,26.10984908731685,36.53864738549371,17.118150196906274,22.51316953115262,677,2023-01,Andalucía
3390.0,2.0,25.955665542993966,35.51598619323299,20.685834321838925,23.84773305453195,105,2023-01,Aragón
3390.0,3.0,26.756845362092164,37.74179959543665,13.143603019939032,21.31154842523091,88,2023-01,Asturias
3390.0,4.0,23.340233562033166,34.433004786163266,17.92519864110182,21.174219593660627,94,2023-01,Baleares
3390.0,5.0,23.4924354531798,36.43508242996257,19.870048406682617,22.043480634580924,180,2023-01,Canarias
3390.0,6.0,27.640659959389886,36.46813211854866,16.914914980619063,23.350361967881554,87,2023-01,Cantabria
3390.0,7.0,27.3691801996043,35.591329375109574,20.117671965411215,24.468576905927065,161,2023-01,Castilla-La Mancha
3390.0,8.0,28.572799311317667,35.782776025207276,15.348434145748659,23.283053245090063,200,2023-01,Castilla y León
3390.0,9.0,22.983078959255277,32.85945044281401,21.071018309004735,22.218254699155057,569,2023-01,Cataluña
3390.0,10.0,26.985943102421935,33.94386420607623,17.186338701459253,23.066101342036863,409,2023-01,C. Valenciana
3390.0,11.0,22.140648846061744,40.28609359052051,20.112611707014057,21.329433990442666,96,2023-01,Extremadura
3390.0,12.0,25.177541722591037,38.542095806118894,16.816889780047866,21.83328094557377,227,2023-01,Galicia
3390.0,13.0,27.405704763889943,35.37262035552569,13.537522506912675,21.85843186109904,563,2023-01,Madrid
3390.0,14.0,27.31275019718223,37.669969495870426,15.851428027661717,22.72822132937402,104,2023-01,Murcia
3390.0,15.0,22.82694072469737,29.02703566311708,17.56979345591179,20.724081817183144,94,2023-01,Navarra
3390.0,16.0,19.643998834630995,37.71709262509404,18.36681369248374,19.133124777772096,181,2023-01,País Vasco
3390.0,17.0,26.995350335123483,33.816118546128344,15.147592962869378,22.256247386221844,82,2023-01,La Rioja
