Periodo,Año,Trimestre,Region,Categoria,Valor
2024-Q2,2024,2,ESP,4. Secuestro,49.0
2024-Q2,2024,2,ESP,5. Delitos contra la libertad sexual,10010.0
2024-Q2,2024,2,ESP,5.1.-AgresiÃ³n sexual con penetraciÃ³n,2465.0
2024-Q2,2024,2,ESP,5.2.-Resto de delitos contra la libertad sexual,7545.0
2024-Q2,2024,2,ESP,6. Robos con violencia e intimidaciÃ³n,30980.0
2024-Q2,2024,2,ESP,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",57469.0
2024-Q2,2024,2,ESP,7.1.-Robos con fuerza en domicilios,39287.0
2024-Q2,2024,2,ESP,8. Hurtos,321332.0
2024-Q2,2024,2,ESP,9. Sustracciones de vehÃ­culos,16272.0
2024-Q2,2024,2,ESP,10. TrÃ¡fico de drogas,11009.0
2024-Q2,2024,2,ESP,11. Resto de criminalidad convencional,524710.0
2024-Q2,2024,2,ESP,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),237640.0
2024-Q2,2024,2,ESP,12.-Estafas informÃ¡ticas,211294.0
2024-Q2,2024,2,ESP,13.-Otros ciberdelitos,26346.0
2024-Q2,2024,2,ESP,III. TOTAL INFRACCIONES PENALES,1224084.0
2024-Q2,2024,2,AND,I. CRIMINALIDAD CONVENCIONAL,163003.0
2024-Q2,2024,2,AND,1. Homicidios dolosos y asesinatos consumados,50.0
2024-Q2,2024,2,AND,2. Homicidios dolosos y asesinatos en grado tentativa,116.0
2024-Q2,2024,2,AND,3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,2606.0
2024-Q2,2024,2,AND,4. Secuestro,15.0
2024-Q2,2024,2,AND,5. Delitos contra la libertad sexual,1506.0
2024-Q2,2024,2,AND,5.1.-AgresiÃ³n sexual con penetraciÃ³n,293.0
2024-Q2,2024,2,AND,5.2.-Resto de delitos contra la libertad sexual,1213.0
2024-Q2,2024,2,AND,6. Robos con violencia e intimidaciÃ³n,3738.0
2024-Q2,2024,2,AND,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",9213.0
2024-Q2,2024,2,AND,7.1.-Robos con fuerza en domicilios,6347.0
2024-Q2,2024,2,AND,8. Hurtos,45725.0
2024-Q2,2024,2,AND,9. Sustracciones de vehÃ­culos,2964.0
2024-Q2,2024,2,AND,10. TrÃ¡fico de drogas,2300.0
2024-Q2,2024,2,AND,11. Resto de criminalidad convencional,94770.0
2024-Q2,2024,2,AND,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),41455.0
2024-Q2,2024,2,AND,12.-Estafas informÃ¡ticas,36202.0
2024-Q2,2024,2,AND,13.-Otros ciberdelitos,5253.0
2024-Q2,2024,2,AND,III. TOTAL INFRACCIONES PENALES,204458.0
2024-Q1,2024,1,ESP,I. CRIMINALIDAD CONVENCIONAL,484467.0
2024-Q1,2024,1,ESP,1. Homicidios dolosos y asesinatos consumados,92.0
2024-Q1,2024,1,ESP,2. Homicidios dolosos y asesinatos en grado tentativa,266.0
2024-Q1,2024,1,ESP,3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,6242.0
2024-Q1,2024,1,ESP,4. Secuestro,28.0
2024-Q1,2024,1,ESP,5. Delitos contra la libertad sexual,4568.0
2024-Q1,2024,1,ESP,5.1.-AgresiÃ³n sexual con penetraciÃ³n,1138.0
2024-Q1,2024,1,ESP,5.2.-Resto de delitos contra la libertad sexual,3430.0
2024-Q1,2024,1,ESP,6. Robos con violencia e intimidaciÃ³n,15020.0
2024-Q1,2024,1,ESP,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",30621.0
2024-Q1,2024,1,ESP,7.1.-Robos con fuerza en domicilios,20872.0
2024-Q1,2024,1,ESP,8. Hurtos,156967.0
2024-Q1,2024,1,ESP,9. Sustracciones de vehÃ­culos,8031.0
2024-Q1,2024,1,ESP,10. TrÃ¡fico de drogas,5045.0
2024-Q1,2024,1,ESP,11. Resto de criminalidad convencional,257587.0
2024-Q1,2024,1,ESP,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),122428.0
2024-Q1,2024,1,ESP,12.-Estafas informÃ¡ticas,110268.0
2024-Q1,2024,1,ESP,13.-Otros ciberdelitos,12160.0
2024-Q1,2024,1,ESP,III. TOTAL INFRACCIONES PENALES,606895.0
2024-Q1,2024,1,AND,I. CRIMINALIDAD CONVENCIONAL,77809.0
2024-Q1,2024,1,AND,1. Homicidios dolosos y asesinatos consumados,27.0
2024-Q1,2024,1,AND,2. Homicidios dolosos y asesinatos en grado tentativa,48.0
